userId,locality,keywords,u_type,dest_fav
4297,Bertoua,"Chauffeur expérimenté,Conduite souple,Éclairage tamisé,Silence,Boisson gratuite,Langue parlée,Cuisine,Espace de rangement,Ponctualité,Conversation,Navigation GPS,Assistance bagages,Climatisation,Confort,Connectivité",Traveler,Batibo
1802,Muyuka,"Chauffeur expérimenté,Espace de rangement,Musique,Connectivité,Conversation,Éclairage tamisé,Navigation GPS,Silence,Conduite souple,Boisson gratuite,Langue parlée,Sport,Cuisine,Animaux acceptés,Assistance bagages,Climatisation",Planner,Mora
1792,Bertoua,"Conduite souple,Animaux acceptés,Sièges inclinables,Silence,Ambiance chaleureuse,Climatisation,Langue parlée",Planner,Limbe
1773,Maroua,"Éclairage tamisé,Navigation GPS,Silence,Animaux acceptés,Conduite souple,Espace de rangement,Ambiance chaleureuse,Ponctualité,Climatisation,Sport,Confort,Boisson gratuite,Wi-Fi gratuit,Assistance bagages,Connectivité,Chauffeur expérimenté,Vue panoramique,Cuisine,Sièges inclinables,Musique,Conversation,Langue parlée",Traveler,Muyuka
4637,Mokolo,"Conduite souple,Ambiance chaleureuse,Langue parlée,Cuisine,Espace de rangement,Conversation,Musique",Planner,Fontem
1750,Bali,"Assistance bagages,Navigation GPS,Chauffeur expérimenté,Ponctualité,Sièges inclinables,Confort,Cuisine,Conduite souple,Éclairage tamisé,Ambiance chaleureuse,Silence,Sport,Climatisation,Langue parlée,Boisson gratuite,Vue panoramique,Conversation",Planner,Bertoua
1672,Bertoua,"Chauffeur expérimenté,Langue parlée,Conduite souple,Silence,Éclairage tamisé,Connectivité,Assistance bagages,Ponctualité,Boisson gratuite,Espace de rangement,Wi-Fi gratuit,Sièges inclinables,Navigation GPS,Confort,Climatisation,Vue panoramique,Musique,Animaux acceptés,Sport",Planner,Bertoua
1344,Figuif,"Connectivité,Animaux acceptés,Ponctualité",Traveler,Bamenda
356,Nkongsamba,"Espace de rangement,Cuisine,Ambiance chaleureuse,Silence,Sport,Climatisation,Langue parlée,Chauffeur expérimenté,Ponctualité",Traveler,Bandjoun
209,Essos,"Wi-Fi gratuit,Vue panoramique,Connectivité,Chauffeur expérimenté,Sièges inclinables,Confort,Ponctualité,Sport,Langue parlée,Animaux acceptés,Boisson gratuite,Musique,Espace de rangement,Silence,Conduite souple,Climatisation",Planner,Buea
3745,Yagoua,"Animaux acceptés,Vue panoramique",Traveler,Limbe
1387,Belo,"Animaux acceptés,Vue panoramique,Wi-Fi gratuit,Ponctualité,Chauffeur expérimenté,Conversation",Traveler,Limbe
1867,Banga Bakundu,"Ponctualité,Connectivité,Animaux acceptés,Wi-Fi gratuit,Espace de rangement,Éclairage tamisé,Climatisation,Cuisine,Sport,Boisson gratuite,Silence,Conversation,Chauffeur expérimenté,Navigation GPS,Sièges inclinables,Ambiance chaleureuse,Vue panoramique,Musique,Conduite souple,Confort",Planner,Bafoussam
4363,Bimbia,"Musique,Conversation,Ponctualité,Animaux acceptés,Boisson gratuite,Confort,Wi-Fi gratuit,Langue parlée",Planner,Muyuka
1933,Garoua,"Sièges inclinables,Cuisine,Ambiance chaleureuse,Conversation",Traveler,Messa
3184,Batibo,"Navigation GPS,Conversation,Ambiance chaleureuse,Sport,Cuisine,Boisson gratuite,Chauffeur expérimenté,Animaux acceptés,Wi-Fi gratuit,Connectivité,Éclairage tamisé,Vue panoramique,Conduite souple,Confort,Assistance bagages,Climatisation",Traveler,Bogo
4698,Mutengene,"Sièges inclinables,Assistance bagages,Chauffeur expérimenté,Ponctualité,Confort,Animaux acceptés,Climatisation,Ambiance chaleureuse,Connectivité,Cuisine",Planner,Bonabéri
4847,Bali Nyonga,"Langue parlée,Assistance bagages,Conduite souple,Navigation GPS,Silence,Wi-Fi gratuit,Éclairage tamisé,Cuisine,Sièges inclinables,Animaux acceptés,Musique,Boisson gratuite,Sport,Vue panoramique,Conversation,Connectivité",Planner,Douala
3703,Gazawa,"Vue panoramique,Chauffeur expérimenté,Connectivité,Musique,Ambiance chaleureuse",Traveler,Meiganga
3408,Fontem,"Espace de rangement,Silence,Conversation,Boisson gratuite,Wi-Fi gratuit,Éclairage tamisé,Ambiance chaleureuse,Conduite souple,Assistance bagages,Sport,Connectivité,Cuisine,Chauffeur expérimenté,Musique,Climatisation,Ponctualité,Animaux acceptés,Sièges inclinables,Confort,Vue panoramique",Planner,Dibombari
1899,Bamenda,"Climatisation,Éclairage tamisé,Sport,Assistance bagages,Ponctualité,Sièges inclinables,Vue panoramique,Cuisine,Ambiance chaleureuse,Conversation,Langue parlée,Animaux acceptés,Silence,Connectivité,Chauffeur expérimenté,Espace de rangement,Conduite souple,Boisson gratuite",Planner,Bandjoun
1666,Bonaberi,"Sport,Confort",Planner,Mbanga
2106,Beti,"Vue panoramique,Conversation,Chauffeur expérimenté,Confort,Sport,Conduite souple,Cuisine",Traveler,Kousseri
1706,Muyuka,"Silence,Conduite souple,Musique,Wi-Fi gratuit,Confort,Boisson gratuite,Navigation GPS,Connectivité,Espace de rangement,Sièges inclinables,Ponctualité,Sport",Traveler,Guider
3938,Bonabéri,"Silence,Confort,Conversation,Cuisine,Vue panoramique,Animaux acceptés,Langue parlée,Assistance bagages,Climatisation,Espace de rangement,Ponctualité,Chauffeur expérimenté,Ambiance chaleureuse",Planner,Bafoussam
805,Belo,"Musique,Sport,Chauffeur expérimenté,Ambiance chaleureuse,Connectivité,Espace de rangement",Traveler,Guider
535,Meiganga,"Ponctualité,Cuisine,Conduite souple,Climatisation,Vue panoramique,Wi-Fi gratuit,Chauffeur expérimenté,Conversation,Assistance bagages",Planner,Bandjoun
4997,Essos,"Animaux acceptés,Sièges inclinables,Assistance bagages,Cuisine,Confort,Climatisation,Boisson gratuite,Éclairage tamisé,Ambiance chaleureuse,Musique,Conduite souple,Langue parlée,Conversation,Silence",Traveler,Mbouda
2748,Bonanjo,"Boisson gratuite,Sièges inclinables,Connectivité,Silence,Assistance bagages,Ponctualité,Musique,Animaux acceptés,Éclairage tamisé,Navigation GPS,Vue panoramique,Confort,Langue parlée,Ambiance chaleureuse,Wi-Fi gratuit,Espace de rangement,Climatisation,Conversation,Sport,Chauffeur expérimenté",Planner,Bali Nyonga
2618,Banga Bakundu,"Animaux acceptés,Wi-Fi gratuit,Ponctualité,Assistance bagages",Planner,Mora
4146,Dibombari,"Éclairage tamisé,Connectivité,Sièges inclinables,Espace de rangement,Ambiance chaleureuse,Silence,Langue parlée,Confort",Traveler,Kousseri
4710,Garoua,"Navigation GPS,Ponctualité,Sport,Conduite souple",Planner,Figuif
591,Bali Nyonga,"Animaux acceptés,Silence,Wi-Fi gratuit,Chauffeur expérimenté,Navigation GPS,Boisson gratuite,Cuisine,Vue panoramique,Langue parlée,Conduite souple,Ponctualité,Climatisation,Musique,Connectivité,Confort",Planner,Messa
303,Campo,"Ambiance chaleureuse,Boisson gratuite",Traveler,Nkongsamba
2643,Bali Nyonga,"Chauffeur expérimenté,Espace de rangement,Ambiance chaleureuse,Conduite souple",Planner,Bafia
3800,Bertoua,"Connectivité,Silence,Climatisation,Navigation GPS,Vue panoramique,Éclairage tamisé,Ponctualité,Cuisine,Conversation,Sport,Musique,Wi-Fi gratuit,Ambiance chaleureuse,Assistance bagages,Boisson gratuite",Traveler,Belo
1245,Kribi,"Ambiance chaleureuse,Chauffeur expérimenté,Sport,Musique,Climatisation,Sièges inclinables,Éclairage tamisé,Animaux acceptés,Connectivité,Conversation",Traveler,Garoua
565,Kribi,"Climatisation,Assistance bagages,Musique,Langue parlée,Éclairage tamisé,Confort,Animaux acceptés,Vue panoramique,Espace de rangement,Connectivité,Navigation GPS,Ambiance chaleureuse",Planner,Yaounde
2542,Belo,"Climatisation,Éclairage tamisé,Connectivité,Vue panoramique,Cuisine,Navigation GPS,Ponctualité,Confort,Ambiance chaleureuse,Musique,Assistance bagages,Silence",Traveler,Bimbia
2147,Gazawa,"Animaux acceptés,Boisson gratuite,Sièges inclinables,Musique,Assistance bagages,Espace de rangement,Navigation GPS,Wi-Fi gratuit",Planner,Bertoua
3684,Buea,Silence,Planner,Campo
1267,Bali,"Navigation GPS,Boisson gratuite,Langue parlée",Planner,Bertoua
3668,Nanga-Eboko,"Navigation GPS,Sport,Musique,Chauffeur expérimenté,Langue parlée,Animaux acceptés,Assistance bagages,Ambiance chaleureuse,Connectivité",Planner,Bandjoun
3556,Messa,"Ponctualité,Navigation GPS,Langue parlée,Espace de rangement,Confort,Wi-Fi gratuit,Connectivité,Sport",Planner,Kumba
3592,Bonanjo,"Ambiance chaleureuse,Connectivité,Silence,Sièges inclinables,Éclairage tamisé,Wi-Fi gratuit,Conduite souple,Ponctualité,Musique,Navigation GPS,Sport",Traveler,Limbe
1268,Nanga-Eboko,"Conduite souple,Confort,Navigation GPS,Musique,Boisson gratuite,Connectivité,Assistance bagages,Cuisine,Langue parlée,Conversation,Vue panoramique,Wi-Fi gratuit,Sièges inclinables,Ambiance chaleureuse",Traveler,Buea
3947,Gazawa,"Sport,Navigation GPS,Sièges inclinables,Confort,Climatisation,Conversation,Langue parlée,Chauffeur expérimenté,Assistance bagages,Connectivité,Musique",Traveler,Mora
3771,Bonaberi,"Cuisine,Espace de rangement,Chauffeur expérimenté,Conduite souple",Traveler,Yagoua
17,Bamenda,"Connectivité,Sport,Conduite souple,Musique,Sièges inclinables,Ambiance chaleureuse,Boisson gratuite,Wi-Fi gratuit,Cuisine,Vue panoramique,Assistance bagages,Conversation,Espace de rangement,Animaux acceptés,Confort,Silence,Navigation GPS,Langue parlée,Ponctualité,Chauffeur expérimenté,Éclairage tamisé",Planner,Bandjoun
4182,Figuif,"Assistance bagages,Ponctualité,Boisson gratuite,Wi-Fi gratuit,Silence,Animaux acceptés,Vue panoramique,Ambiance chaleureuse,Conduite souple,Chauffeur expérimenté,Cuisine,Sièges inclinables,Conversation,Connectivité,Navigation GPS,Sport,Espace de rangement,Confort,Éclairage tamisé",Planner,Bafang
